x,y,z
525.65517515,-387.242166376,-868.040252752
187.098860429,1029.4088385,15.0301357089
-1871.87750922,-229.684369856,-370.71322746
812.580231476,-1210.27522096,-738.299067518
84.4983656406,-869.656621488,2410.0924024
-441.250903405,1441.62393407,446.153822023
1961.57532939,-2150.35930957,426.566846646
2198.12997475,1000.37281628,370.023807955
2608.00168027,1136.86594831,408.545301882
-105.10112509,-1088.72474266,-506.529933223
363.306465701,1192.85689817,-312.429329614
-1871.87750922,-229.684369856,-370.71322746
-416.948363798,-250.444147876,-656.678855396
9.01283481,-823.409776766,-879.192869666
48.7558930048,799.129853497,-60.421822622
-242.306453092,-535.358798225,-823.098292497
86.3439673993,-222.553475139,-820.797790611
363.306465701,1192.85689817,-312.429329614
-635.349651963,470.186870231,125.942710051
-635.21847197,708.794336372,4.47479176639
-285.258486211,681.190386964,364.727361511
-150.247829763,2078.87511242,969.355137968
-979.638810768,390.251419128,129.073349396
1118.1586788,1149.06325649,332.667848643
-448.009057816,-1980.15328004,1816.35224079
405.936658301,-1131.88639848,-598.64009551
2970.17638036,1200.47711461,436.898731243
405.8260149,-1226.78387503,-362.631247383
-569.109286263,486.559511178,-171.368422702
661.498662941,-707.323534897,-777.963353143
579.458088494,-693.686469884,-770.932159094
-107.870455448,-994.85715678,-17.5027055713
-1871.87750922,-229.684369856,-370.71322746
2612.04912006,1132.59042354,408.347637686
196.299764716,891.535608718,-73.1282655428
738.06951233,211.069020365,-491.988637195
-898.52312805,436.802305282,113.98167041
-145.492856896,-1813.65314602,2691.42976991
-193.228111733,655.687937239,-98.5509071469
-1871.87750922,-229.684369856,-370.71322746
-1378.35523826,-282.162683007,-508.093681896
258.387067919,1427.467492,290.920806265
-183.017808359,1124.49708765,122.283254253
-252.530625351,-477.647153016,-754.921162056
-234.259700616,436.804697782,366.116897438
-893.233028646,1036.41656959,-107.068883518
342.387051184,1436.19810488,645.776600021
258.98388299,-813.773081036,-857.490467603
2037.71966115,-120.697912631,-29.4340164302
-1772.81339157,-222.827654269,-239.27352774
-1871.87750922,-229.684369856,-370.71322746
-260.015931859,521.972384257,123.285095244
42.8226221263,-612.633443232,-747.495421896
-1169.31572924,838.951481319,163.9592232
2656.80767397,-1102.19616063,-515.808572111
97.9233632809,782.760887221,169.270516211
973.143874076,1128.57385242,-1.92149419716
-752.090591226,518.880215321,9.29941529112
-1871.87750922,-229.684369856,-370.71322746
1432.3192957,-1378.8673449,-757.402110152
-1871.87750922,-229.684369856,-370.71322746
247.030179643,-5.5121486199,-717.357858499
-249.598947759,1277.83118939,428.581444237
-286.835182722,519.846522082,234.697850059
-1871.87750922,-229.684369856,-370.71322746
-492.096436816,97.3023796624,-711.975638842
-59.05690328,-582.791852095,-793.924280633
-1871.87750922,-229.684369856,-370.71322746
-976.064214744,672.395387448,739.097497295
255.66714803,-420.316415618,-336.913757007
2608.00168027,1136.86594831,408.545301882
-1083.39360449,654.668384603,178.779301805
859.355847555,2017.07270525,869.329965676
-752.090591226,518.880215321,9.29941529112
739.766672738,-896.239998875,-248.847096625
1273.73321845,-750.362944755,-763.056687036
-0.381122260778,-1240.7621274,2610.74088017
1439.85000233,1569.03453467,157.062652279
-130.101693203,-442.593205165,-555.396261959
-713.957174561,242.457870362,-313.320550192
-1039.62432105,515.960681569,68.9145651797
143.15164733,-391.170154903,-670.674234467
-1871.87750922,-229.684369856,-370.71322746
7.06416378394,-923.22238766,2883.07782374
37.4094145924,-1196.32759382,-533.78436974
-258.846481075,-420.519025023,-598.109531102
603.599938728,-1134.44312515,-591.531807265
283.706613864,-470.151926813,-685.300159026
275.794740174,-1187.40889169,-336.383956547
252.49521819,-1586.94388581,-397.36983112
711.785075982,1860.17826843,332.510140077
2207.13785134,997.848941606,376.582072178
48.7558930048,799.129853497,-60.421822622
524.813755514,-550.181361533,-476.341157885
695.580319744,-878.209268107,-943.16859043
798.549201018,-911.659684462,-557.302381444
348.58188011,-637.424956868,-1002.39113091
-1871.87750922,-229.684369856,-370.71322746
1119.51381564,1338.59679322,402.917304023
-193.228111733,655.687937239,-98.5509071469
243.047766909,949.758508068,117.667085311
-931.795848942,1084.44215708,479.058228028
-175.7903231,-348.700721744,-686.459401854
-1483.17017454,-318.413715369,-521.742025037
-273.476646653,981.421826531,449.110641475
-1871.87750922,-229.684369856,-370.71322746
-433.809406133,584.916467402,472.417749042
1619.14376347,-70.1080653097,-688.572654586
-299.13631288,-633.74862431,-614.412431612
-223.068329637,-290.284772773,-119.025044527
158.386918107,-990.06086773,-768.279142196
-327.771664052,-864.175252185,984.825347337
874.185604781,243.055388643,-288.561080154
-256.563282657,-967.68802526,-447.561391363
-1871.87750922,-229.684369856,-370.71322746
-331.769580649,1044.91393335,-403.62376901
-420.27421936,472.754119307,227.946412844
-291.881755028,-14.8857368925,-504.474207743
156.099349418,986.161714115,-341.338082412
-366.616275749,530.93336646,-139.145878956
1048.48472066,2239.6423175,195.027720508
2970.17638036,1200.47711461,436.898731243
-913.852767649,326.368763184,39.5779172829
-1871.87750922,-229.684369856,-370.71322746
-1871.87750922,-229.684369856,-370.71322746
111.823551258,-815.608851178,-685.785476451
-422.442139168,-739.870936687,-724.389051119
-80.7587913508,-1100.24846711,-505.874497259
352.730128304,976.806838018,147.708005071
-88.0006266291,1190.90186005,123.823373369
699.753397442,-1007.9270231,-565.783147309
536.202181717,-869.623327756,-929.894331242
207.132182184,1123.61279753,446.138542997
-1049.58670311,989.453516313,28.8200493119
520.28594647,1594.05101098,380.079491158
-750.605147076,398.078980278,136.084745821
838.179838668,-537.001696159,-602.650537954
2168.95851561,-591.490390915,-309.548644686
805.548630957,-904.213534696,-263.148812311
1142.77533358,-872.467929489,-562.648024374
1804.71739333,-1534.29654501,-236.093330718
510.745307219,1259.86314308,333.953543344
-209.862146697,61.7111900544,-185.781567839
