x,y,z
1401.96558638,-530.040530194,-732.211126138
-255.923751445,1062.35751816,283.294353822
1544.17739766,-1675.77784882,-596.339857183
-0.381122260778,-1240.7621274,2610.74088017
13.3772621429,-704.109356704,2.88173022848
858.069067199,-924.986807329,-740.619971486
1573.78297703,-1746.17940178,442.901116447
-12.3234791633,-1208.97042068,3385.1258169
-373.840966874,-1398.06647544,3479.96253444
-264.026203192,304.295925086,-363.036817494
-459.132698669,405.169367653,1525.93587541
409.722293696,862.125478855,201.371010596
242.785444055,1462.07868826,364.314595375
1994.26705441,-1512.2205309,-348.381576415
-317.563009841,99.767680752,-557.191813782
-177.194342711,-1308.94591587,3556.85618955
